mode_size,batch_size,sequence_length,running_time,peak_memory
gpt2,8,1024,110.91155171394348,5297.56591796875
gpt2,16,1024,110.27848553657532,10060.09716796875
gpt2,32,1024,110.61629986763,19576.72216796875
gpt2,4,1024,113.50128436088562,2919.90966796875
gpt2-medium,4,1024,306.46994614601135,3851.73974609375
gpt2-medium,8,1024,305.6049292087555,6237.39599609375
gpt2-medium,16,1024,297.9627196788788,11015.92724609375
gpt2-medium,32,1024,296.18631863594055,20564.55224609375
gpt2-large,8,1024,606.6481626033783,7974.14794921875
gpt2-large,4,1024,615.0613553524017,5580.49169921875
gpt2-large,16,1024,607.932214975357,12768.67919921875
gpt2-large,32,1024,616.2206666469574,22349.30419921875
gpt2-xl,4,1024,1203.8710043430328,8687.2509765625
gpt2-xl,8,1024,1218.7449026107788,11088.9072265625
gpt2-xl,16,1024,1233.4469063282013,15903.4384765625
gpt2-xl,32,1024,1159.11949467659,25524.0634765625
gpt2,4,512,96.80844306945801,1725.77294921875
